1,Palomitas,Popcorn,$23.00,palomitas.jpg
2,Refresco,Soda,$18.00,refresco.jpeg
3,Nachos,Nachos,$35.00,nachos.jpeg
4,Hot Dog,Hot Dog,$30.00,hot dog.jpg
5,Pizza,Pizza,$50.00,pizza.jpg
6,Helado,Ice Cream,$25.00,helado.jpg
7,Chocolate,Chocolate,$20.00,chocolate.jpeg
8,Galletas,Cookies,$15.00,galletas.jpeg
9,Papas Fritas,French Fries,$28.00,papas fritas.jpeg
10,Dulces,Candy,$10.00,dulces.jpeg
11,Agua,Water,$12.00,agua.jpeg
12,Café,Coffee,$22.00,cafe.jpeg
13,Té Helado,Iced Tea,$20.00,te.png
14,Brownie,Brownie,$26.00,brownie.jpeg
15,Panini,Panini,$40.00,panini.jpeg
16,Ensalada,Salad,$32.00,ensalada.jpeg
17,Smoothie,Smoothie,$27.00,smoothie.jpeg
18,Yogur,Yogurt,$18.00,yogur.jpeg
19,Empanada,Empanada,$24.00,empanada.jpeg
20,Sandwich,Sandwich,$38.00,sandwich.jpeg
